row,date,City,Amount
920,20120406,Austin,70.4
921,20120407,Austin,73.6
922,20120408,Austin,71.1
923,20120409,Austin,70.0
924,20120410,Austin,69.0
925,20120411,Austin,69.2
926,20120412,Austin,74.5
927,20120413,Austin,73.4
928,20120414,Austin,76.0
929,20120415,Austin,74.5
930,20120416,Austin,63.6
931,20120417,Austin,67.3
932,20120418,Austin,65.1
933,20120419,Austin,67.9
934,20120420,Austin,68.9
935,20120421,Austin,65.1
936,20120422,Austin,65.4
937,20120423,Austin,70.1
938,20120424,Austin,67.0
939,20120425,Austin,75.4
940,20120426,Austin,77.5
941,20120427,Austin,77.0
942,20120428,Austin,77.7
943,20120429,Austin,77.7
